ID_HERO,NAMA_HERO,CLASS,ROLE,COMPLEXITY,TIMING PRECISSION,POSITIONING REQUIREMENT,DECISION COMPLEXITY,DIFFICULTY
H001,AAMON,ASSASSIN,JUNGLING,3,5,4,5,
H002,AKAI,TANK,ROAMING,3,4,4,5,
H003,ALDOUS,FIGHTER,EXP LANE,4,2,2,4,
H004,ALICE,"MAGE, TANK","EXP LANE, JUNGLING, MID LANE",5,5,5,5,
H005,ALPHA,FIGHTER,"EXP LANE, JUNGLING",5,5,5,5,
H006,ALUCARD,"ASSASSIN, FIGHTER",JUNGLING,5,5,5,5,
H007,ANGELA,SUPPORT,ROAMING,2,4,5,5,
H008,ARGUS,FIGHTER,EXP LANE,3,3,4,4,
H009,ARLOTT,FIGHTER,EXP LANE,5,5,5,5,
H010,ATLAS,TANK,ROAMING,4,5,5,5,
H011,AULUS,FIGHTER,JUNGLING,4,4,5,4,
H012,AURORA,MAGE,MID LANE,5,5,5,5,
H013,BADANG,FIGHTER,"EXP LANE, ROAMING",4,5,5,5,
H014,BALMOND,FIGHTER,"EXP LANE, JUNGLING",2,4,5,3,
H015,BANE,"FIGHTER, MAGE","EXP LANE, JUNGLING, MID LANE",4,5,5,5,
H016,BARATS,"FIGHTER, TANK",JUNGLING,5,5,5,5,
H017,BAXIA,TANK,JUNGLING,3,4,5,5,
H018,BEATRIX,MARKSMAN,GOLD LANE,5,5,5,5,
H019,BELERICK,TANK,ROAMING,3,4,5,4,
H020,BENEDETTA,FIGHTER,EXP LANE,5,5,5,5,
H021,BRODY,MARKSMAN,GOLD LANE,3,4,5,5,
H022,BRUNO,MARKSMAN,GOLD LANE,3,4,5,5,
H023,CARMILLA,"SUPPORT, TANK",ROAMING,4,4,5,5,
H024,CECILION,MAGE,MID LANE,3,4,5,4,
H025,CHANG E,MAGE,MID LANE,2,4,5,3,
H026,CHIP,"SUPPORT, TANK",ROAMING,5,5,5,5,
H027,CHOU,FIGHTER,"EXP LANE, ROAMING",5,5,5,5,
H028,CICI,FIGHTER,EXP LANE,4,4,5,5,
H029,CLINT,MARKSMAN,GOLD LANE,3,4,5,5,
H030,CLAUDE,MARKSMAN,GOLD LANE,4,5,5,5,
H031,CYCLOPS,MAGE,MID LANE,2,4,5,4,
H032,DIGGIE,SUPPORT,ROAMING,2,4,5,4,
H033,DYROTH,FIGHTER,"EXP LANE, JUNGLING",4,4,5,4,
H034,EDITH,"MARKSMAN, TANK","EXP LANE, ROAMING",4,4,5,4,
H035,ESMERALDA,"MAGE, TANK",EXP LANE,3,4,5,4,
H036,ESTES,SUPPORT,ROAMING,2,4,5,4,
H037,EUDORA,MAGE,MID LANE,2,4,5,3,
H038,FANNY,ASSASSIN,JUNGLING,5,5,5,5,
H039,FARAMIS,"MAGE, SUPPORT",MID LANE,4,4,5,5,
H040,FLORYN,SUPPORT,ROAMING,2,4,5,4,
H041,FRANCO,TANK,ROAMING,2,4,5,4,
H042,FREDRINN,"FIGHTER, TANK",JUNGLING,4,4,5,5,
H043,FREYA,FIGHTER,"EXP LANE, JUNGLING",4,4,5,5,
H044,GATOTKACA,"FIGHTER, TANK","EXP LANE, ROAMING",4,4,5,5,
H045,GLOO,TANK,"EXP LANE, ROAMING",5,5,5,5,
H046,GORD,MAGE,MID LANE,3,4,5,4,
H047,GRANGER,MARKSMAN,GOLD LANE,3,4,5,5,
H048,GROCK,"FIGHTER, TANK","EXP LANE, ROAMING",4,5,5,5,
H049,GUINEVERRE,FIGHTER,EXP LANE,4,5,5,5,
H050,GUSION,ASSASSIN,"JUNGLING, MID LANE",5,5,4,4,
H051,HANABI,MARKSMAN,GOLD LANE,2,3,4,3,
H052,HANZO,ASSASSIN,JUNGLING,5,5,3,5,
H053,HARITH,MAGE,"GOLD LANE, MID LANE",5,5,5,5,
H054,HARLEY,"ASSASSIN, MAGE","JUNGLING, MID LANE",3,4,4,4,
H055,HAYABUSA,ASSASSIN,JUNGLING,5,5,5,5,
H056,HELCURT,ASSASSIN,JUNGLING,5,5,5,5,
H057,HILDA,"FIGHTER, TANK","EXP LANE, ROAMING",4,4,5,5,
H058,HYLOS,TANK,ROAMING,5,5,5,5,
H059,IRITHEL,MARKSMAN,GOLD LANE,4,4,5,5,
H060,IXIA,MARKSMAN,GOLD LANE,3,5,5,5,
H061,JAWHEAD,FIGHTER,"EXP LANE, ROAMING",3,3,5,3,
H062,JOHNSON,"SUPPORT, TANK",ROAMING,4,4,5,3,
H063,JOY,ASSASSIN,JUNGLING,5,5,5,5,
H064,JULIAN,"ASSASSIN, FIGHTER",JUNGLING,4,5,5,5,
H065,KADITA,"ASSASSIN, MAGE",MID LANE,5,5,5,5,
H066,KAGURA,MAGE,MID LANE,5,5,5,5,
