ID_HERO,NAMA_HERO,CLASS,ROLE,DAMAGE,KILL THREAT/BURST,SUSTAIN DPS,OBJECTIVE PRESSURE,OFFENSE
H001,AAMON,ASSASSIN,JUNGLING,5,5,5,5,
H002,AKAI,TANK,ROAMING,2,1,2,4,
H003,ALDOUS,FIGHTER,EXP LANE,4,5,4,3,
H004,ALICE,"MAGE, TANK","EXP LANE, JUNGLING, MID LANE",3,1,4,4,
H005,ALPHA,FIGHTER,"EXP LANE, JUNGLING",4,2,3,5,
H006,ALUCARD,"ASSASSIN, FIGHTER",JUNGLING,5,3,4,5,
H007,ANGELA,SUPPORT,ROAMING,1,1,2,3,
H008,ARGUS,FIGHTER,EXP LANE,3,2,3,3,
H009,ARLOTT,FIGHTER,EXP LANE,4,3,4,4,
H010,ATLAS,TANK,ROAMING,1,1,3,3,
H011,AULUS,FIGHTER,JUNGLING,4,2,3,3,
H012,AURORA,MAGE,MID LANE,3,2,3,4,
H013,BADANG,FIGHTER,"EXP LANE, ROAMING",3,2,4,4,
H014,BALMOND,FIGHTER,"EXP LANE, JUNGLING",3,3,3,3,
H015,BANE,"FIGHTER, MAGE","EXP LANE, JUNGLING, MID LANE",4,3,3,4,
H016,BARATS,"FIGHTER, TANK",JUNGLING,3,3,3,4,
H017,BAXIA,TANK,JUNGLING,3,2,4,4,
H018,BEATRIX,MARKSMAN,GOLD LANE,5,5,5,4,
H019,BELERICK,TANK,ROAMING,1,1,3,3,
H020,BENEDETTA,FIGHTER,EXP LANE,4,4,4,4,
H021,BRODY,MARKSMAN,GOLD LANE,4,4,4,3,
H022,BRUNO,MARKSMAN,GOLD LANE,4,3,4,3,
H023,CARMILLA,"SUPPORT, TANK",ROAMING,1,1,3,3,
H024,CECILION,MAGE,MID LANE,4,4,4,4,
H025,CHANG E,MAGE,MID LANE,3,2,3,3,
H026,CHIP,"SUPPORT, TANK",ROAMING,1,1,4,5,
H027,CHOU,FIGHTER,"EXP LANE, ROAMING",2,2,4,5,
H028,CICI,FIGHTER,EXP LANE,3,3,4,4,
H029,CLINT,MARKSMAN,GOLD LANE,4,4,4,4,
H030,CLAUDE,MARKSMAN,GOLD LANE,4,3,4,4,
H031,CYCLOPS,MAGE,MID LANE,3,2,3,3,
H032,DIGGIE,SUPPORT,ROAMING,2,1,2,3,
H033,DYROTH,FIGHTER,"EXP LANE, JUNGLING",4,4,4,4,
